url,eventDate,eventType,price,MLS
https://www.redfin.ca/on/ottawa/1038-Marconi-Ave-K2W-0C8/home/149176305,"Feb 5, 2025",Listed (Active),"$649,900",X11956820
https://www.redfin.ca/on/ottawa/1038-Secord-Ave-K1H-8C8/home/148843001,"May 1, 2025",Sold (MLS) (Closed),"$750,500",X12059312
https://www.redfin.ca/on/ottawa/1038-Secord-Ave-K1H-8C8/home/148843001,"Apr 3, 2025",Listed (Active),"$799,000",X12059312
https://www.redfin.ca/on/ottawa/1038-Secord-Ave-K1H-8C8/home/148843001,"Jan 23, 2025",Listed (Active),"$815,000",X11938343
https://www.redfin.ca/on/ottawa/1039-Barwell-Ave-K2B-8H4/home/148987460,"Feb 26, 2025",Sold (MLS) (Closed),"$560,000",X11949744
https://www.redfin.ca/on/ottawa/1039-Barwell-Ave-K2B-8H4/home/148987460,"Feb 21, 2025",Listed (Active),"$579,000",X11949744
https://www.redfin.ca/on/ottawa/1039-Barwell-Ave-K2B-8H4/home/148987460,"Feb 21, 2025",Sold (MLS) (Closed),"$560,000",X11949744
https://www.redfin.ca/on/ottawa/1039-Barwell-Ave-K2B-8H4/home/148987460,"Jan 31, 2025",Listed (Active),"$579,000",X11949744
https://www.redfin.ca/on/ottawa/1039-Heron-Rd-K1V-6B9/home/149474092,"Aug 16, 2024",Sold (MLS),"$750,000",X9436531
https://www.redfin.ca/on/ottawa/1039-Heron-Rd-K1V-6B9/home/149474092,"May 22, 2024",Listed,"$799,000",X9436531
https://www.redfin.ca/on/ottawa/1039-Markwick-Cres-K4A-4X5/home/149500161,"Jun 26, 2024",Sold (MLS),"$550,000",X9420587
https://www.redfin.ca/on/ottawa/1039-Markwick-Cres-K4A-4X5/home/149500161,"Apr 15, 2024",Listed,"$550,000",X9420587
https://www.redfin.ca/on/ottawa/104-Bloomingdale-St-K2C-4A4/home/148806623,"Jul 12, 2024",Sold (MLS),"$759,000",X9435078
https://www.redfin.ca/on/ottawa/104-Bloomingdale-St-K2C-4A4/home/148806623,"May 16, 2024",Listed,"$724,900",X9435078
https://www.redfin.ca/on/ottawa/104-Esterbrook-Dr-K1W-0A9/home/149826410,"Oct 16, 2023",Sold (MLS),"$554,000",X9498295
https://www.redfin.ca/on/ottawa/104-Esterbrook-Dr-K1W-0A9/home/149826410,"Jul 28, 2023",Listed,"$564,900",X9498295
https://www.redfin.ca/on/ottawa/104-Gowrie-Dr-K2L-2S5/home/149767480,"Jun 20, 2024",Sold (MLS),"$610,000",X9435537
https://www.redfin.ca/on/ottawa/104-Gowrie-Dr-K2L-2S5/home/149767480,"May 24, 2024",Listed,"$629,900",X9435537
https://www.redfin.ca/on/ottawa/104-Hawktree-Ridge-K2J-5N3/home/149156974,"Sep 13, 2024",Sold (MLS),"$597,000",X9447747
https://www.redfin.ca/on/ottawa/104-Hawktree-Ridge-K2J-5N3/home/149156974,"Aug 23, 2024",Listed,"$576,900",X9447747
https://www.redfin.ca/on/ottawa/104-Hawktree-Ridge-K2J-5N3/home/149156974,"Nov 13, 2020",Price Changed,"$499,900",CREA #1
https://www.redfin.ca/on/ottawa/104-Lumen-Pl-K1C-1T1/home/180228569,"Mar 12, 2025",Sold (MLS) (Closed),"$949,990",X11960725
https://www.redfin.ca/on/ottawa/104-Lumen-Pl-K1C-1T1/home/180228569,"Mar 4, 2025",Price Changed,"$949,990",X11960725
